create_time,update_time,table_id,table_name,db_name,table_type,db_type,desc
2018-10-30 05:07:36,2019-08-01 19:08:56,179391,ad_click,ad,,hive,
2018-11-02 11:16:08,2019-08-01 19:08:56,180202,ad_click_orc,ad,,hive,
2018-11-02 11:15:23,2019-08-01 19:08:56,180201,ad_click_parquet,ad,,hive,
2018-10-31 02:00:34,2019-08-01 19:08:56,179643,ad_show,ad,,hive,
2019-02-22 03:37:25,2019-08-01 19:08:56,213746,ad_source,ad,,hive,
2019-02-22 03:44:36,2019-08-01 19:08:56,213748,ad_type,ad,,hive,
2019-02-22 03:25:44,2019-08-01 19:08:56,213743,client_type,ad,,hive,
2019-05-28 07:52:27,2019-08-01 19:08:56,243501,ad_click_hist,ali_parquet_trans,,hive,
2019-05-29 07:06:13,2019-08-01 19:08:56,243850,antarmy_pds_regist,ali_parquet_trans,,hive,
2019-05-29 07:11:02,2019-08-01 19:08:56,243853,antarmy_pdsmaster_matchproxy,ali_parquet_trans,,hive,
2019-05-29 07:35:40,2019-08-01 19:08:56,243864,app_page_flow,ali_parquet_trans,,hive,
2019-05-29 07:08:35,2019-08-01 19:08:56,243852,app_video_p2p_pre,ali_parquet_trans,,hive,
2019-05-29 06:52:06,2019-08-01 19:08:56,243846,device_ap_net_connect,ali_parquet_trans,,hive,
2019-05-29 06:45:49,2019-08-01 19:08:56,243842,ms_user_action,ali_parquet_trans,,hive,
2019-05-29 07:30:09,2019-08-01 19:08:56,243861,ms_user_stay,ali_parquet_trans,,hive,
2019-05-29 06:59:44,2019-08-01 19:08:56,243848,studio_client_keypress,ali_parquet_trans,,hive,
2019-05-29 06:38:14,2019-08-01 19:08:56,243838,studio_video_p2p_pre,ali_parquet_trans,,hive,
2019-05-29 07:48:46,2019-08-01 19:08:56,243876,video_p2p_pre,ali_parquet_trans,,hive,
2019-07-08 04:11:42,2019-08-01 19:08:56,260639,ant_army_commercial_proxy_data,antarmy,,hive,
2017-05-18 01:36:20,2019-08-01 19:08:56,24263,antarmy,antarmy,,hive,
2019-03-02 03:53:01,2019-08-01 19:08:56,216145,antarmy_get_stream,antarmy,,hive,
2017-05-18 09:54:52,2019-08-01 19:08:56,24217,antarmyclientdata,antarmy,,hive,
2017-05-17 09:46:52,2019-08-01 19:08:56,23927,antarmyproxydata,antarmy,,hive,
2018-05-21 06:22:56,2019-08-01 19:08:56,131493,app_alarm_video_search,app,,hive,
2018-05-31 10:32:52,2019-08-01 19:08:56,134353,app_device_record_search,app,,hive,
2018-05-03 07:27:25,2019-08-01 19:08:56,134403,app_http_api,app,,hive,
2018-02-03 12:54:37,2019-08-01 19:08:56,99886,app_ptz_control,app,,hive,
2018-02-27 03:59:47,2019-08-01 19:08:56,106928,app_video_p2p_pre,app,,hive,
2018-05-05 03:34:08,2019-08-01 19:08:56,126698,app_video_playback_cloud,app,,hive,
2018-05-05 03:34:58,2019-08-01 19:08:56,126699,app_video_playback_direct,app,,hive,
2018-05-30 10:31:55,2019-08-01 19:08:56,134059,app_video_playback_master,app,,hive,
2018-05-07 06:54:35,2019-08-01 19:08:56,127337,app_video_playback_vtdu,app,,hive,
2018-05-21 10:09:57,2019-08-01 19:08:56,131386,app_video_preview_direct,app,,hive,
2018-01-22 04:17:12,2019-08-01 19:08:56,130222,app_video_preview_master,app,,hive,
2018-05-21 10:21:15,2019-08-01 19:08:56,131433,app_video_preview_p2p,app,,hive,
2018-05-18 07:32:35,2019-08-01 19:08:56,130628,app_video_preview_vtdu,app,,hive,
2018-11-13 02:16:47,2019-08-01 19:08:56,183488,ip_info,app,,hive,
2019-07-25 11:31:51,2019-08-01 19:08:56,268194,safe_bus_user_device_his,bus_dw,,hive,
2019-07-25 01:49:35,2019-08-01 19:08:56,268223,safe_bus_user_device_share_his,bus_dw,,hive,
2019-07-31 01:48:46,2019-08-01 19:08:56,271132,safe_bus_user_device_union_info,bus_dw,,hive,
2019-07-31 01:43:27,2019-08-01 19:08:56,271128,safe_bus_user_device_union_info_org,bus_dw,,hive,
2019-07-29 04:45:52,2019-08-01 19:08:56,270286,safe_bus_user_device_union_info_real,bus_dw,,hive,
2019-07-30 04:59:01,2019-08-01 19:08:56,270655,safe_device_realtime_region_hb,bus_dw,,hive,
2018-10-17 07:27:20,2019-08-01 19:08:56,229912,ad_day,datest,,hive,
2018-10-17 07:27:21,2019-08-01 19:08:56,229913,ad_show_click_hour_day,datest,,hive,
2019-07-22 04:20:05,2019-08-01 19:08:56,266767,ai_intelligent_dubbo_code_info_day,datest,,hive,报表：智能服务接口状态码成功率
2019-05-30 05:09:39,2019-08-01 19:08:56,244175,alarm_video_detect_buy_convert_info_day,datest,,hive,
2019-05-30 05:12:21,2019-08-01 19:08:56,244178,alarm_video_detect_error_info_day,datest,,hive,
2019-05-30 05:06:22,2019-08-01 19:08:56,258362,alarm_video_detect_info_day,datest,,hive,
2019-05-30 05:08:28,2019-08-01 19:08:56,244174,alarm_video_detect_sale_info_day,datest,,hive,
2019-07-19 03:10:39,2019-08-01 19:08:56,265715,alarm_video_user_device_info_day,datest,,hive,画面检测设备试用情况报表
2019-06-13 07:44:35,2019-08-01 19:08:56,249327,antarmy_agent_active_day,datest,,hive,蚁兵代理日活日报
2019-06-13 07:51:35,2019-08-01 19:08:56,249329,antarmy_agent_high_day,datest,,hive,蚁兵高峰代理日活日报
2019-06-14 11:49:07,2019-08-01 19:08:56,249578,antarmy_agent_high_score_day,datest,,hive,蚁兵高峰代理评分日报
2018-11-19 08:40:20,2019-08-01 19:08:56,185361,antarmy_bandwidth_estimate,datest,,hive,
2018-04-17 04:10:00,2019-08-01 19:08:56,121625,antarmy_bandwidth_stat,datest,,hive,
2019-05-16 04:35:45,2019-08-01 19:08:56,239348,antarmy_device_agent_day,datest,,hive,蚁兵设备代理数据分析
2018-08-29 04:51:49,2019-08-01 19:08:56,161040,antarmy_parallel_channels_day,datest,,hive,蚁兵代理并发取流路数日巡检
2018-08-29 04:56:37,2019-08-01 19:08:56,161042,antarmy_parallel_channels_timepoint_day,datest,,hive,蚁兵代理并发取流路数日巡检
2019-05-16 04:35:36,2019-08-01 19:08:56,239347,antarmy_pc_agent_day,datest,,hive,蚁兵pc代理数据分析
2018-09-17 04:16:22,2019-08-01 19:08:56,167057,antarmy_pds_regist_summary_day,datest,,hive,antarmy_pds_regist_summary_day
2018-09-06 02:15:41,2019-08-01 19:08:56,163408,antarmy_pdsmaster_day,datest,,hive,antarmy_pdsmaster_day
2018-09-06 02:19:30,2019-08-01 19:08:56,163410,antarmy_pdsmaster_error_day,datest,,hive,antarmy_pdsmaster_error_day
2018-09-06 02:42:51,2019-08-01 19:08:56,182071,antarmy_pdsmaster_stream_day,datest,,hive,antarmy_pdsmaster_stream_day
2018-09-06 02:47:10,2019-08-01 19:08:56,163417,antarmy_proxy_res_day,datest,,hive,antarmy_proxy_res_day
2019-05-16 04:41:09,2019-08-01 19:08:56,239351,antarmy_regist_day,datest,,hive,蚁兵注册数据分析
2018-07-31 07:59:54,2019-08-01 19:08:56,152546,antarmy_regular_busyrate_day,datest,,hive,蚁兵代理周期数据日巡检-busyRate的频度分布
2018-07-31 07:45:15,2019-08-01 19:08:56,152539,antarmy_regular_day,datest,,hive,蚁兵代理周期数据日巡检-忙碌代理占比、转发带宽
2019-05-16 01:39:36,2019-08-01 19:08:56,239306,antarmy_service_day,datest,,hive,蚁兵服务数据分析
2019-05-16 01:39:58,2019-08-01 19:08:56,239307,antarmy_service_flow_day,datest,,hive,蚁兵服务数据流量分布分析
2018-08-29 06:26:59,2019-08-01 19:08:56,161061,antarmy_vtdu_compare_day,datest,,hive,蚁兵代理和VTDU预览效果对比--成功率/耗时
2018-09-06 02:51:58,2019-08-01 19:08:56,163419,antarmy_vtm_rsp_preview_noantarmy,datest,,hive,antarmy_vtm_rsp_preview_noantarmy
2018-09-06 02:52:56,2019-08-01 19:08:56,163420,antarmy_vtm_rsp_preview_summary,datest,,hive,antarmy_vtm_rsp_preview_summary
2019-02-19 02:22:11,2019-08-01 19:08:56,212786,app_api_top50_day,datest,,hive,萤石云移动端api接口调用前50
2019-06-04 04:25:23,2019-08-01 19:08:56,245829,app_clienttype_active_day,datest,,hive,app各客户端活跃用户数
2019-06-04 02:44:04,2019-08-01 19:08:56,245795,app_clientversion_active_day,datest,,hive,app各个版本活跃用户数
